Exercise_Name,Muscle_Group,Equipment,Difficulty Level,Sets,Reps,Source,is_home_friendly,Difficulty Level Encoded
Push-ups,"Chest, Triceps, Shoulders",Bodyweight,Intermediate,3,15,Top50,True,1
Squats,"Quadriceps, Hamstrings, Glutes",Bodyweight,Beginner,4,12,Top50,True,0
Lunges,"Quadriceps, Hamstrings, Glutes",Bodyweight,Beginner,3,10,Top50,True,0
Burpees,Full Body,Bodyweight,Advanced,3,10,Top50,True,2
Mountain Climbers,"Core, Shoulders, Legs",Bodyweight,Intermediate,3,20,Top50,True,1
Jumping Jacks,Full Body,Bodyweight,Beginner,3,30,Top50,True,0
Bicycle Crunches,Core,Bodyweight,Intermediate,3,20,Top50,True,1
Dips,"Triceps, Chest",Parallel Bars or Chair,Intermediate,3,12,Top50,False,1
Pull-ups,"Back, Biceps",Pull-up Bar,Advanced,3,8,Top50,False,2
Russian Twists,"Core, Obliques",None or Dumbbell,Intermediate,3,20,Top50,False,1
Leg Raises,Lower Abs,Bodyweight,Intermediate,3,15,Top50,True,1
Deadlifts,"Back, Hamstrings, Glutes",Barbell,Advanced,4,8,Top50,False,2
Bench Press,"Chest, Triceps","Bench, Barbell",Intermediate,4,10,Top50,False,1
Rows,"Back, Biceps",Dumbbells or Barbell,Intermediate,3,12,Top50,False,1
Shoulder Press,"Shoulders, Triceps",Dumbbells or Barbell,Intermediate,3,10,Top50,False,1
Calf Raises,Calves,None or Dumbbells,Beginner,3,20,Top50,False,0
Tricep Extensions,Triceps,Dumbbells,Intermediate,3,12,Top50,False,1
Lateral Raises,Shoulders,Dumbbells,Intermediate,3,12,Top50,False,1
Glute Bridges,"Glutes, Hamstrings",Bodyweight,Beginner,3,15,Top50,True,0
Superman,"Lower Back, Glutes",Bodyweight,Beginner,3,12,Top50,True,0
Box Jumps,"Legs, Core",Box or Platform,Advanced,4,10,Top50,False,2
Kettlebell Swings,"Glutes, Hamstrings, Core",Kettlebell,Intermediate,3,15,Top50,False,1
Step-ups,"Quadriceps, Hamstrings, Glutes",Step or Box,Intermediate,3,12,Top50,False,1
Face Pulls,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Intermediate,3,15,Top50,False,1
Lat Pulldowns,"Back, Biceps",Cable Machine,Intermediate,3,12,Top50,False,1
